name,quantity,unit,price_per_unit,low_stock_threshold,description
Copper Component Type-496,150.5,pieces,45.99,20.0,Fitted bulk element batch number 496 for stress verification
Copper Component Type-497,150.5,lbs,45.99,20.0,Fitted bulk element batch number 497 for stress verification
Copper Component Type-498,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 498 for stress verification
Copper Component Type-499,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 499 for stress verification
Copper Component Type-500,150.5,rolls,45.99,20.0,Fitted bulk element batch number 500 for stress verification
Copper Component Type-501,150.5,sheets,45.99,20.0,Fitted bulk element batch number 501 for stress verification
Copper Component Type-502,150.5,pieces,45.99,20.0,Fitted bulk element batch number 502 for stress verification
Copper Component Type-503,150.5,lbs,45.99,20.0,Fitted bulk element batch number 503 for stress verification
Copper Component Type-504,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 504 for stress verification
Copper Component Type-505,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 505 for stress verification
Copper Component Type-506,150.5,rolls,45.99,20.0,Fitted bulk element batch number 506 for stress verification
Copper Component Type-507,150.5,sheets,45.99,20.0,Fitted bulk element batch number 507 for stress verification
Copper Component Type-508,150.5,pieces,45.99,20.0,Fitted bulk element batch number 508 for stress verification
Copper Component Type-509,150.5,lbs,45.99,20.0,Fitted bulk element batch number 509 for stress verification
Copper Component Type-510,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 510 for stress verification
Copper Component Type-511,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 511 for stress verification
Copper Component Type-512,150.5,rolls,45.99,20.0,Fitted bulk element batch number 512 for stress verification
Copper Component Type-513,150.5,sheets,45.99,20.0,Fitted bulk element batch number 513 for stress verification
Copper Component Type-514,150.5,pieces,45.99,20.0,Fitted bulk element batch number 514 for stress verification
Copper Component Type-515,150.5,lbs,45.99,20.0,Fitted bulk element batch number 515 for stress verification
Copper Component Type-516,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 516 for stress verification
Copper Component Type-517,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 517 for stress verification
Copper Component Type-518,150.5,rolls,45.99,20.0,Fitted bulk element batch number 518 for stress verification
Copper Component Type-519,150.5,sheets,45.99,20.0,Fitted bulk element batch number 519 for stress verification
Copper Component Type-520,150.5,pieces,45.99,20.0,Fitted bulk element batch number 520 for stress verification
Copper Component Type-521,150.5,lbs,45.99,20.0,Fitted bulk element batch number 521 for stress verification
Copper Component Type-522,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 522 for stress verification
Copper Component Type-523,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 523 for stress verification
Copper Component Type-524,150.5,rolls,45.99,20.0,Fitted bulk element batch number 524 for stress verification
Copper Component Type-525,150.5,sheets,45.99,20.0,Fitted bulk element batch number 525 for stress verification
Copper Component Type-526,150.5,pieces,45.99,20.0,Fitted bulk element batch number 526 for stress verification
Copper Component Type-527,150.5,lbs,45.99,20.0,Fitted bulk element batch number 527 for stress verification
Copper Component Type-528,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 528 for stress verification
Copper Component Type-529,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 529 for stress verification
Copper Component Type-530,150.5,rolls,45.99,20.0,Fitted bulk element batch number 530 for stress verification
Copper Component Type-531,150.5,sheets,45.99,20.0,Fitted bulk element batch number 531 for stress verification
Copper Component Type-532,150.5,pieces,45.99,20.0,Fitted bulk element batch number 532 for stress verification
Copper Component Type-533,150.5,lbs,45.99,20.0,Fitted bulk element batch number 533 for stress verification
Copper Component Type-534,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 534 for stress verification
Copper Component Type-535,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 535 for stress verification
Copper Component Type-536,150.5,rolls,45.99,20.0,Fitted bulk element batch number 536 for stress verification
Copper Component Type-537,150.5,sheets,45.99,20.0,Fitted bulk element batch number 537 for stress verification
Copper Component Type-538,150.5,pieces,45.99,20.0,Fitted bulk element batch number 538 for stress verification
Copper Component Type-539,150.5,lbs,45.99,20.0,Fitted bulk element batch number 539 for stress verification
Copper Component Type-540,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 540 for stress verification
Copper Component Type-541,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 541 for stress verification
Copper Component Type-542,150.5,rolls,45.99,20.0,Fitted bulk element batch number 542 for stress verification
Copper Component Type-543,150.5,sheets,45.99,20.0,Fitted bulk element batch number 543 for stress verification
Copper Component Type-544,150.5,pieces,45.99,20.0,Fitted bulk element batch number 544 for stress verification
Copper Component Type-545,150.5,lbs,45.99,20.0,Fitted bulk element batch number 545 for stress verification
Copper Component Type-546,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 546 for stress verification
Copper Component Type-547,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 547 for stress verification
Copper Component Type-548,150.5,rolls,45.99,20.0,Fitted bulk element batch number 548 for stress verification
Copper Component Type-549,150.5,sheets,45.99,20.0,Fitted bulk element batch number 549 for stress verification
Copper Component Type-550,150.5,pieces,45.99,20.0,Fitted bulk element batch number 550 for stress verification
Copper Component Type-551,150.5,lbs,45.99,20.0,Fitted bulk element batch number 551 for stress verification
Copper Component Type-552,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 552 for stress verification
Copper Component Type-553,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 553 for stress verification
Copper Component Type-554,150.5,rolls,45.99,20.0,Fitted bulk element batch number 554 for stress verification
Copper Component Type-555,150.5,sheets,45.99,20.0,Fitted bulk element batch number 555 for stress verification
Copper Component Type-556,150.5,pieces,45.99,20.0,Fitted bulk element batch number 556 for stress verification
Copper Component Type-557,150.5,lbs,45.99,20.0,Fitted bulk element batch number 557 for stress verification
Copper Component Type-558,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 558 for stress verification
Copper Component Type-559,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 559 for stress verification
Copper Component Type-560,150.5,rolls,45.99,20.0,Fitted bulk element batch number 560 for stress verification
Copper Component Type-561,150.5,sheets,45.99,20.0,Fitted bulk element batch number 561 for stress verification
Copper Component Type-562,150.5,pieces,45.99,20.0,Fitted bulk element batch number 562 for stress verification
Copper Component Type-563,150.5,lbs,45.99,20.0,Fitted bulk element batch number 563 for stress verification
Copper Component Type-564,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 564 for stress verification
Copper Component Type-565,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 565 for stress verification
Copper Component Type-566,150.5,rolls,45.99,20.0,Fitted bulk element batch number 566 for stress verification
Copper Component Type-567,150.5,sheets,45.99,20.0,Fitted bulk element batch number 567 for stress verification
Copper Component Type-568,150.5,pieces,45.99,20.0,Fitted bulk element batch number 568 for stress verification
Copper Component Type-569,150.5,lbs,45.99,20.0,Fitted bulk element batch number 569 for stress verification
Copper Component Type-570,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 570 for stress verification
Copper Component Type-571,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 571 for stress verification
Copper Component Type-572,150.5,rolls,45.99,20.0,Fitted bulk element batch number 572 for stress verification
Copper Component Type-573,150.5,sheets,45.99,20.0,Fitted bulk element batch number 573 for stress verification
Copper Component Type-574,150.5,pieces,45.99,20.0,Fitted bulk element batch number 574 for stress verification
Copper Component Type-575,150.5,lbs,45.99,20.0,Fitted bulk element batch number 575 for stress verification
Copper Component Type-576,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 576 for stress verification
Copper Component Type-577,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 577 for stress verification
Copper Component Type-578,150.5,rolls,45.99,20.0,Fitted bulk element batch number 578 for stress verification
Copper Component Type-579,150.5,sheets,45.99,20.0,Fitted bulk element batch number 579 for stress verification
Copper Component Type-580,150.5,pieces,45.99,20.0,Fitted bulk element batch number 580 for stress verification
Copper Component Type-581,150.5,lbs,45.99,20.0,Fitted bulk element batch number 581 for stress verification
Copper Component Type-582,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 582 for stress verification
Copper Component Type-583,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 583 for stress verification
Copper Component Type-584,150.5,rolls,45.99,20.0,Fitted bulk element batch number 584 for stress verification
Copper Component Type-585,150.5,sheets,45.99,20.0,Fitted bulk element batch number 585 for stress verification
Copper Component Type-586,150.5,pieces,45.99,20.0,Fitted bulk element batch number 586 for stress verification
Copper Component Type-587,150.5,lbs,45.99,20.0,Fitted bulk element batch number 587 for stress verification
Copper Component Type-588,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 588 for stress verification
Copper Component Type-589,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 589 for stress verification
Copper Component Type-590,150.5,rolls,45.99,20.0,Fitted bulk element batch number 590 for stress verification
Copper Component Type-591,150.5,sheets,45.99,20.0,Fitted bulk element batch number 591 for stress verification
Copper Component Type-592,150.5,pieces,45.99,20.0,Fitted bulk element batch number 592 for stress verification
Copper Component Type-593,150.5,lbs,45.99,20.0,Fitted bulk element batch number 593 for stress verification
Copper Component Type-594,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 594 for stress verification
Copper Component Type-595,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 595 for stress verification
Copper Component Type-596,150.5,rolls,45.99,20.0,Fitted bulk element batch number 596 for stress verification
Copper Component Type-597,150.5,sheets,45.99,20.0,Fitted bulk element batch number 597 for stress verification
Copper Component Type-598,150.5,pieces,45.99,20.0,Fitted bulk element batch number 598 for stress verification
Copper Component Type-599,150.5,lbs,45.99,20.0,Fitted bulk element batch number 599 for stress verification
Copper Component Type-600,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 600 for stress verification
Copper Component Type-601,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 601 for stress verification
Copper Component Type-602,150.5,rolls,45.99,20.0,Fitted bulk element batch number 602 for stress verification
Copper Component Type-603,150.5,sheets,45.99,20.0,Fitted bulk element batch number 603 for stress verification
Copper Component Type-604,150.5,pieces,45.99,20.0,Fitted bulk element batch number 604 for stress verification
Copper Component Type-605,150.5,lbs,45.99,20.0,Fitted bulk element batch number 605 for stress verification
Copper Component Type-606,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 606 for stress verification
Copper Component Type-607,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 607 for stress verification
Copper Component Type-608,150.5,rolls,45.99,20.0,Fitted bulk element batch number 608 for stress verification
Copper Component Type-609,150.5,sheets,45.99,20.0,Fitted bulk element batch number 609 for stress verification
Copper Component Type-610,150.5,pieces,45.99,20.0,Fitted bulk element batch number 610 for stress verification
Copper Component Type-611,150.5,lbs,45.99,20.0,Fitted bulk element batch number 611 for stress verification
Copper Component Type-612,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 612 for stress verification
Copper Component Type-613,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 613 for stress verification
Copper Component Type-614,150.5,rolls,45.99,20.0,Fitted bulk element batch number 614 for stress verification
Copper Component Type-615,150.5,sheets,45.99,20.0,Fitted bulk element batch number 615 for stress verification
Copper Component Type-616,150.5,pieces,45.99,20.0,Fitted bulk element batch number 616 for stress verification
Copper Component Type-617,150.5,lbs,45.99,20.0,Fitted bulk element batch number 617 for stress verification
Copper Component Type-618,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 618 for stress verification
Copper Component Type-619,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 619 for stress verification
Copper Component Type-620,150.5,rolls,45.99,20.0,Fitted bulk element batch number 620 for stress verification
Copper Component Type-621,150.5,sheets,45.99,20.0,Fitted bulk element batch number 621 for stress verification
Copper Component Type-622,150.5,pieces,45.99,20.0,Fitted bulk element batch number 622 for stress verification
Copper Component Type-623,150.5,lbs,45.99,20.0,Fitted bulk element batch number 623 for stress verification
Copper Component Type-624,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 624 for stress verification
Copper Component Type-625,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 625 for stress verification
Copper Component Type-626,150.5,rolls,45.99,20.0,Fitted bulk element batch number 626 for stress verification
Copper Component Type-627,150.5,sheets,45.99,20.0,Fitted bulk element batch number 627 for stress verification
Copper Component Type-628,150.5,pieces,45.99,20.0,Fitted bulk element batch number 628 for stress verification
Copper Component Type-629,150.5,lbs,45.99,20.0,Fitted bulk element batch number 629 for stress verification
Copper Component Type-630,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 630 for stress verification
Copper Component Type-631,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 631 for stress verification
Copper Component Type-632,150.5,rolls,45.99,20.0,Fitted bulk element batch number 632 for stress verification
Copper Component Type-633,150.5,sheets,45.99,20.0,Fitted bulk element batch number 633 for stress verification
Copper Component Type-634,150.5,pieces,45.99,20.0,Fitted bulk element batch number 634 for stress verification
Copper Component Type-635,150.5,lbs,45.99,20.0,Fitted bulk element batch number 635 for stress verification
Copper Component Type-636,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 636 for stress verification
Copper Component Type-637,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 637 for stress verification
Copper Component Type-638,150.5,rolls,45.99,20.0,Fitted bulk element batch number 638 for stress verification
Copper Component Type-639,150.5,sheets,45.99,20.0,Fitted bulk element batch number 639 for stress verification
Copper Component Type-640,150.5,pieces,45.99,20.0,Fitted bulk element batch number 640 for stress verification
Copper Component Type-641,150.5,lbs,45.99,20.0,Fitted bulk element batch number 641 for stress verification
Copper Component Type-642,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 642 for stress verification
Copper Component Type-643,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 643 for stress verification
Copper Component Type-644,150.5,rolls,45.99,20.0,Fitted bulk element batch number 644 for stress verification
Copper Component Type-645,150.5,sheets,45.99,20.0,Fitted bulk element batch number 645 for stress verification
Copper Component Type-646,150.5,pieces,45.99,20.0,Fitted bulk element batch number 646 for stress verification
Copper Component Type-647,150.5,lbs,45.99,20.0,Fitted bulk element batch number 647 for stress verification
Copper Component Type-648,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 648 for stress verification
Copper Component Type-649,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 649 for stress verification
Copper Component Type-650,150.5,rolls,45.99,20.0,Fitted bulk element batch number 650 for stress verification
Copper Component Type-651,150.5,sheets,45.99,20.0,Fitted bulk element batch number 651 for stress verification
Copper Component Type-652,150.5,pieces,45.99,20.0,Fitted bulk element batch number 652 for stress verification
Copper Component Type-653,150.5,lbs,45.99,20.0,Fitted bulk element batch number 653 for stress verification
Copper Component Type-654,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 654 for stress verification
Copper Component Type-655,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 655 for stress verification
Copper Component Type-656,150.5,rolls,45.99,20.0,Fitted bulk element batch number 656 for stress verification
Copper Component Type-657,150.5,sheets,45.99,20.0,Fitted bulk element batch number 657 for stress verification
Copper Component Type-658,150.5,pieces,45.99,20.0,Fitted bulk element batch number 658 for stress verification
Copper Component Type-659,150.5,lbs,45.99,20.0,Fitted bulk element batch number 659 for stress verification
Copper Component Type-660,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 660 for stress verification
Copper Component Type-661,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 661 for stress verification
Copper Component Type-662,150.5,rolls,45.99,20.0,Fitted bulk element batch number 662 for stress verification
Copper Component Type-663,150.5,sheets,45.99,20.0,Fitted bulk element batch number 663 for stress verification
Copper Component Type-664,150.5,pieces,45.99,20.0,Fitted bulk element batch number 664 for stress verification
Copper Component Type-665,150.5,lbs,45.99,20.0,Fitted bulk element batch number 665 for stress verification
Copper Component Type-666,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 666 for stress verification
Copper Component Type-667,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 667 for stress verification
Copper Component Type-668,150.5,rolls,45.99,20.0,Fitted bulk element batch number 668 for stress verification
Copper Component Type-669,150.5,sheets,45.99,20.0,Fitted bulk element batch number 669 for stress verification
Copper Component Type-670,150.5,pieces,45.99,20.0,Fitted bulk element batch number 670 for stress verification
Copper Component Type-671,150.5,lbs,45.99,20.0,Fitted bulk element batch number 671 for stress verification
Copper Component Type-672,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 672 for stress verification
Copper Component Type-673,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 673 for stress verification
Copper Component Type-674,150.5,rolls,45.99,20.0,Fitted bulk element batch number 674 for stress verification
Copper Component Type-675,150.5,sheets,45.99,20.0,Fitted bulk element batch number 675 for stress verification
Copper Component Type-676,150.5,pieces,45.99,20.0,Fitted bulk element batch number 676 for stress verification
Copper Component Type-677,150.5,lbs,45.99,20.0,Fitted bulk element batch number 677 for stress verification
Copper Component Type-678,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 678 for stress verification
Copper Component Type-679,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 679 for stress verification
Copper Component Type-680,150.5,rolls,45.99,20.0,Fitted bulk element batch number 680 for stress verification
Copper Component Type-681,150.5,sheets,45.99,20.0,Fitted bulk element batch number 681 for stress verification
Copper Component Type-682,150.5,pieces,45.99,20.0,Fitted bulk element batch number 682 for stress verification
Copper Component Type-683,150.5,lbs,45.99,20.0,Fitted bulk element batch number 683 for stress verification
Copper Component Type-684,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 684 for stress verification
Copper Component Type-685,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 685 for stress verification
Copper Component Type-686,150.5,rolls,45.99,20.0,Fitted bulk element batch number 686 for stress verification
Copper Component Type-687,150.5,sheets,45.99,20.0,Fitted bulk element batch number 687 for stress verification
Copper Component Type-688,150.5,pieces,45.99,20.0,Fitted bulk element batch number 688 for stress verification
Copper Component Type-689,150.5,lbs,45.99,20.0,Fitted bulk element batch number 689 for stress verification
Copper Component Type-690,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 690 for stress verification
Copper Component Type-691,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 691 for stress verification
Copper Component Type-692,150.5,rolls,45.99,20.0,Fitted bulk element batch number 692 for stress verification
Copper Component Type-693,150.5,sheets,45.99,20.0,Fitted bulk element batch number 693 for stress verification
Copper Component Type-694,150.5,pieces,45.99,20.0,Fitted bulk element batch number 694 for stress verification
Copper Component Type-695,150.5,lbs,45.99,20.0,Fitted bulk element batch number 695 for stress verification
Copper Component Type-696,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 696 for stress verification
Copper Component Type-697,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 697 for stress verification
Copper Component Type-698,150.5,rolls,45.99,20.0,Fitted bulk element batch number 698 for stress verification
Copper Component Type-699,150.5,sheets,45.99,20.0,Fitted bulk element batch number 699 for stress verification
Copper Component Type-700,150.5,pieces,45.99,20.0,Fitted bulk element batch number 700 for stress verification
Copper Component Type-701,150.5,lbs,45.99,20.0,Fitted bulk element batch number 701 for stress verification
Copper Component Type-702,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 702 for stress verification
Copper Component Type-703,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 703 for stress verification
Copper Component Type-704,150.5,rolls,45.99,20.0,Fitted bulk element batch number 704 for stress verification
Copper Component Type-705,150.5,sheets,45.99,20.0,Fitted bulk element batch number 705 for stress verification
Copper Component Type-706,150.5,pieces,45.99,20.0,Fitted bulk element batch number 706 for stress verification
Copper Component Type-707,150.5,lbs,45.99,20.0,Fitted bulk element batch number 707 for stress verification
Copper Component Type-708,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 708 for stress verification
Copper Component Type-709,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 709 for stress verification
Copper Component Type-710,150.5,rolls,45.99,20.0,Fitted bulk element batch number 710 for stress verification
Copper Component Type-711,150.5,sheets,45.99,20.0,Fitted bulk element batch number 711 for stress verification
Copper Component Type-712,150.5,pieces,45.99,20.0,Fitted bulk element batch number 712 for stress verification
Copper Component Type-713,150.5,lbs,45.99,20.0,Fitted bulk element batch number 713 for stress verification
Copper Component Type-714,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 714 for stress verification
Copper Component Type-715,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 715 for stress verification
Copper Component Type-716,150.5,rolls,45.99,20.0,Fitted bulk element batch number 716 for stress verification
Copper Component Type-717,150.5,sheets,45.99,20.0,Fitted bulk element batch number 717 for stress verification
Copper Component Type-718,150.5,pieces,45.99,20.0,Fitted bulk element batch number 718 for stress verification
Copper Component Type-719,150.5,lbs,45.99,20.0,Fitted bulk element batch number 719 for stress verification
Copper Component Type-720,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 720 for stress verification
Copper Component Type-721,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 721 for stress verification
Copper Component Type-722,150.5,rolls,45.99,20.0,Fitted bulk element batch number 722 for stress verification
Copper Component Type-723,150.5,sheets,45.99,20.0,Fitted bulk element batch number 723 for stress verification
Copper Component Type-724,150.5,pieces,45.99,20.0,Fitted bulk element batch number 724 for stress verification
Copper Component Type-725,150.5,lbs,45.99,20.0,Fitted bulk element batch number 725 for stress verification
Copper Component Type-726,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 726 for stress verification
Copper Component Type-727,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 727 for stress verification
Copper Component Type-728,150.5,rolls,45.99,20.0,Fitted bulk element batch number 728 for stress verification
Copper Component Type-729,150.5,sheets,45.99,20.0,Fitted bulk element batch number 729 for stress verification
Copper Component Type-730,150.5,pieces,45.99,20.0,Fitted bulk element batch number 730 for stress verification
Copper Component Type-731,150.5,lbs,45.99,20.0,Fitted bulk element batch number 731 for stress verification
Copper Component Type-732,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 732 for stress verification
Copper Component Type-733,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 733 for stress verification
Copper Component Type-734,150.5,rolls,45.99,20.0,Fitted bulk element batch number 734 for stress verification
Copper Component Type-735,150.5,sheets,45.99,20.0,Fitted bulk element batch number 735 for stress verification
Copper Component Type-736,150.5,pieces,45.99,20.0,Fitted bulk element batch number 736 for stress verification
Copper Component Type-737,150.5,lbs,45.99,20.0,Fitted bulk element batch number 737 for stress verification
Copper Component Type-738,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 738 for stress verification
Copper Component Type-739,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 739 for stress verification
Copper Component Type-740,150.5,rolls,45.99,20.0,Fitted bulk element batch number 740 for stress verification
Copper Component Type-741,150.5,sheets,45.99,20.0,Fitted bulk element batch number 741 for stress verification
Copper Component Type-742,150.5,pieces,45.99,20.0,Fitted bulk element batch number 742 for stress verification
Copper Component Type-743,150.5,lbs,45.99,20.0,Fitted bulk element batch number 743 for stress verification
Copper Component Type-744,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 744 for stress verification
Copper Component Type-745,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 745 for stress verification
Copper Component Type-746,150.5,rolls,45.99,20.0,Fitted bulk element batch number 746 for stress verification
Copper Component Type-747,150.5,sheets,45.99,20.0,Fitted bulk element batch number 747 for stress verification
Copper Component Type-748,150.5,pieces,45.99,20.0,Fitted bulk element batch number 748 for stress verification
Copper Component Type-749,150.5,lbs,45.99,20.0,Fitted bulk element batch number 749 for stress verification
Copper Component Type-750,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 750 for stress verification
Copper Component Type-751,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 751 for stress verification
Copper Component Type-752,150.5,rolls,45.99,20.0,Fitted bulk element batch number 752 for stress verification
Copper Component Type-753,150.5,sheets,45.99,20.0,Fitted bulk element batch number 753 for stress verification
Copper Component Type-754,150.5,pieces,45.99,20.0,Fitted bulk element batch number 754 for stress verification
Copper Component Type-755,150.5,lbs,45.99,20.0,Fitted bulk element batch number 755 for stress verification
Copper Component Type-756,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 756 for stress verification
Copper Component Type-757,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 757 for stress verification
Copper Component Type-758,150.5,rolls,45.99,20.0,Fitted bulk element batch number 758 for stress verification
Copper Component Type-759,150.5,sheets,45.99,20.0,Fitted bulk element batch number 759 for stress verification
Copper Component Type-760,150.5,pieces,45.99,20.0,Fitted bulk element batch number 760 for stress verification
Copper Component Type-761,150.5,lbs,45.99,20.0,Fitted bulk element batch number 761 for stress verification
Copper Component Type-762,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 762 for stress verification
Copper Component Type-763,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 763 for stress verification
Copper Component Type-764,150.5,rolls,45.99,20.0,Fitted bulk element batch number 764 for stress verification
Copper Component Type-765,150.5,sheets,45.99,20.0,Fitted bulk element batch number 765 for stress verification
Copper Component Type-766,150.5,pieces,45.99,20.0,Fitted bulk element batch number 766 for stress verification
Copper Component Type-767,150.5,lbs,45.99,20.0,Fitted bulk element batch number 767 for stress verification
Copper Component Type-768,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 768 for stress verification
Copper Component Type-769,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 769 for stress verification
Copper Component Type-770,150.5,rolls,45.99,20.0,Fitted bulk element batch number 770 for stress verification
Copper Component Type-771,150.5,sheets,45.99,20.0,Fitted bulk element batch number 771 for stress verification
Copper Component Type-772,150.5,pieces,45.99,20.0,Fitted bulk element batch number 772 for stress verification
Copper Component Type-773,150.5,lbs,45.99,20.0,Fitted bulk element batch number 773 for stress verification
Copper Component Type-774,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 774 for stress verification
Copper Component Type-775,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 775 for stress verification
Copper Component Type-776,150.5,rolls,45.99,20.0,Fitted bulk element batch number 776 for stress verification
Copper Component Type-777,150.5,sheets,45.99,20.0,Fitted bulk element batch number 777 for stress verification
Copper Component Type-778,150.5,pieces,45.99,20.0,Fitted bulk element batch number 778 for stress verification
Copper Component Type-779,150.5,lbs,45.99,20.0,Fitted bulk element batch number 779 for stress verification
Copper Component Type-780,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 780 for stress verification
Copper Component Type-781,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 781 for stress verification
Copper Component Type-782,150.5,rolls,45.99,20.0,Fitted bulk element batch number 782 for stress verification
Copper Component Type-783,150.5,sheets,45.99,20.0,Fitted bulk element batch number 783 for stress verification
Copper Component Type-784,150.5,pieces,45.99,20.0,Fitted bulk element batch number 784 for stress verification
Copper Component Type-785,150.5,lbs,45.99,20.0,Fitted bulk element batch number 785 for stress verification
Copper Component Type-786,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 786 for stress verification
Copper Component Type-787,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 787 for stress verification
Copper Component Type-788,150.5,rolls,45.99,20.0,Fitted bulk element batch number 788 for stress verification
Copper Component Type-789,150.5,sheets,45.99,20.0,Fitted bulk element batch number 789 for stress verification
Copper Component Type-790,150.5,pieces,45.99,20.0,Fitted bulk element batch number 790 for stress verification
Copper Component Type-791,150.5,lbs,45.99,20.0,Fitted bulk element batch number 791 for stress verification
Copper Component Type-792,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 792 for stress verification
Copper Component Type-793,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 793 for stress verification
Copper Component Type-794,150.5,rolls,45.99,20.0,Fitted bulk element batch number 794 for stress verification
Copper Component Type-795,150.5,sheets,45.99,20.0,Fitted bulk element batch number 795 for stress verification
Copper Component Type-796,150.5,pieces,45.99,20.0,Fitted bulk element batch number 796 for stress verification
